2025-08-05T10:29:28.046Z warp-dns-stats: Queries: 18, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 2.44ms
2025-08-05T10:31:28.038Z warp-dns-stats: Queries: 20, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 1.65ms
2025-08-05T10:33:28.029Z warp-dns-stats: Queries: 20, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.50ms
2025-08-05T10:35:28.022Z warp-dns-stats: Queries: 20, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 2.40ms
2025-08-05T10:37:28.012Z warp-dns-stats: Queries: 20, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 1.70ms
2025-08-05T10:39:28.005Z warp-dns-stats: Queries: 20, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.55ms
2025-08-05T10:41:27.997Z warp-dns-stats: Queries: 20, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.60ms
2025-08-05T10:43:27.990Z warp-dns-stats: Queries: 20, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 3.75ms
2025-08-05T10:45:27.980Z warp-dns-stats: Queries: 24, Success: 91.7%, TimedOut: 0.0%, NoRecordsFound: 8.3%, Other Error: 0.0%, Avg Duration: 3.29ms
2025-08-05T10:47:27.971Z warp-dns-stats: Queries: 26, Success: 96.2%, TimedOut: 0.0%, NoRecordsFound: 3.8%, Other Error: 0.0%, Avg Duration: 1.58ms
2025-08-05T10:49:27.963Z warp-dns-stats: Queries: 28, Success: 96.4%, TimedOut: 0.0%, NoRecordsFound: 3.6%, Other Error: 0.0%, Avg Duration: 4.75ms
2025-08-05T10:51:27.956Z warp-dns-stats: Queries: 20, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.60ms
